Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","308","Grenade","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","8108","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","308","Grenade","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","7572","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","320","Guatemala","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1355294","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","320","Guatemala","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","2139287","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","324","Guinée","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","1631412","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","324","Guinée","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1526762","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","624","Guinée-Bissau","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","27076","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","624","Guinée-Bissau","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","231037","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","328","Guyana","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","267036","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","328","Guyana","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","94869","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","332","Haïti","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","254507","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","332","Haïti","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1115182","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","340","Honduras","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","517152","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","340","Honduras","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","1112490","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","348","Hongrie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","4502269","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","348","Hongrie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","877994","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","090","Îles Salomon","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","11155","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","090","Îles Salomon","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","51097","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","356","Inde","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","35121337","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","356","Inde","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","191447875","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","360","Indonésie","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","15168758","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","360","Indonésie","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","46662538","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","364","Iran (République islamique d')","5520","Aliments pour animaux","F1716","Céréales","2017","2017","tonnes","14876210","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU)","364","Iran (République islamique d')","5141","Disponibilité alimentaire en quantité (tonnes)","F1716","Céréales","2017","2017","tonnes","12911301","I","Valeur imputée"
